dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,7.395780e+02,7.395780e-01,4.410382e-02,2.267377e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,7.462930e+02,7.462930e-01,4.450426e-02,2.246976e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,7.631880e+02,7.631880e-01,4.551177e-02,2.197234e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,31,29791,6,4.450800e-10,4.638967e-05,1.265026e-04,3.132000e+00,3.132000e-03,1.051324e-01,9.511814e+06,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,2.434000e+00,2.434000e-03,8.170253e-02,1.223952e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,1.505000e+00,1.505000e-03,5.051861e-02,1.979468e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,1.190000e+00,1.190000e-03,3.994495e-02,2.503445e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,1.029000e+00,1.029000e-03,3.454063e-02,2.895141e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,1.025000e+00,1.025000e-03,3.440636e-02,2.906439e+07,1.000000e-09,150,5,true,wrapper
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,31,29791,6,4.450806e-10,4.638967e-05,1.265026e-04,2.972000e+00,2.972000e-03,9.976167e-02,1.002389e+07,1.000000e-09,150,5,true,wrapper
